Pollutant,Split,station_id,station_name,n,mean_obs,RMSE_persistence,RMSE_RF,RMSE_XGB,Skill_RF_pct,Skill_XGB_pct
PM10,Test(2024),DJ03,문창동,7449,25.05,8.38,9.16,9.37,-9.32,-11.78
PM10,Test(2024),DJ11,대성동,8648,22.87,6.99,7.64,8.17,-9.28,-16.91
PM10,Test(2024),DJ04,구성동,8618,26.81,7.73,8.36,7.96,-8.18,-3.01
PM10,Test(2024),DJ10,성남동1,8623,28.64,8.03,8.61,8.12,-7.14,-1.03
PM10,Test(2024),DJ02,문평동,8629,30.42,8.03,8.52,8.2,-6.21,-2.15
PM10,Test(2024),DJ06,상대동(대전),8619,25.97,6.88,7.12,7.34,-3.51,-6.59
PM10,Test(2024),DJ07,관평동,8646,27.79,6.95,7.1,8.2,-2.14,-17.85
PM10,Test(2024),DJ01,읍내동,8554,29.5,7.68,7.82,8.54,-1.91,-11.19
PM10,Test(2024),DJ12,정림동,8277,26.57,8.56,8.66,9.41,-1.15,-9.97
PM10,Test(2024),DJ05,노은동,8678,28.17,7.32,7.36,8.03,-0.63,-9.71
PM10,Test(2024),DJ13,둔산동,8448,29.71,10.87,10.69,11.0,1.64,-1.2
PM10,Val(2023),DJ05,노은동,8605,35.98,7.93,9.78,11.29,-23.31,-42.35
PM10,Val(2023),DJ02,문평동,8621,38.93,8.71,10.67,12.34,-22.42,-41.61
PM10,Val(2023),DJ01,읍내동,8477,39.3,10.01,12.08,11.08,-20.74,-10.77
PM10,Val(2023),DJ10,성남동1,8553,36.41,8.14,9.82,11.14,-20.57,-36.88
PM10,Val(2023),DJ04,구성동,8634,34.61,7.41,8.82,10.29,-18.9,-38.76
PM10,Val(2023),DJ07,관평동,8639,35.85,7.62,8.92,10.76,-16.96,-41.19
PM10,Val(2023),DJ11,대성동,8605,31.61,7.06,7.95,9.24,-12.58,-30.84
PM10,Val(2023),DJ06,상대동(대전),8600,34.51,7.3,7.83,8.37,-7.38,-14.69
PM10,Val(2023),DJ13,둔산동,8402,39.73,12.55,13.42,14.66,-6.99,-16.81
PM10,Val(2023),DJ12,정림동,8107,36.12,9.64,10.21,10.97,-5.93,-13.81
PM10,Val(2023),DJ03,문창동,8372,30.65,8.69,8.64,10.29,0.59,-18.42
PM2.5,Test(2024),DJ11,대성동,8646,15.22,3.89,3.75,3.71,3.63,4.47
PM2.5,Test(2024),DJ06,상대동(대전),8610,14.77,3.65,3.45,3.43,5.37,5.89
PM2.5,Test(2024),DJ03,문창동,7456,13.21,3.88,3.67,3.6,5.43,7.12
PM2.5,Test(2024),DJ12,정림동,8623,13.0,4.25,4.0,3.88,5.89,8.56
PM2.5,Test(2024),DJ05,노은동,8682,16.4,4.13,3.88,3.86,5.97,6.32
PM2.5,Test(2024),DJ01,읍내동,8362,14.3,5.27,4.94,4.86,6.25,7.68
PM2.5,Test(2024),DJ07,관평동,8383,15.94,5.25,4.9,4.8,6.65,8.55
PM2.5,Test(2024),DJ10,성남동1,8152,14.33,6.6,6.09,6.01,7.62,8.89
PM2.5,Test(2024),DJ13,둔산동,8527,12.53,4.96,4.55,4.44,8.21,10.49
PM2.5,Test(2024),DJ02,문평동,8395,15.11,6.12,5.52,5.37,9.74,12.27
PM2.5,Test(2024),DJ04,구성동,8413,14.13,5.58,4.99,4.89,10.46,12.34
PM2.5,Val(2023),DJ11,대성동,8623,17.7,3.98,3.9,3.89,1.95,2.3
PM2.5,Val(2023),DJ03,문창동,8496,16.6,3.93,3.79,3.75,3.66,4.68
PM2.5,Val(2023),DJ06,상대동(대전),8627,17.28,4.01,3.86,3.87,3.67,3.52
PM2.5,Val(2023),DJ05,노은동,8612,18.87,4.59,4.4,4.38,4.13,4.71
PM2.5,Val(2023),DJ01,읍내동,8514,19.47,9.51,8.9,9.16,6.34,3.66
PM2.5,Val(2023),DJ07,관평동,8609,19.63,5.49,5.13,5.13,6.56,6.59
PM2.5,Val(2023),DJ10,성남동1,8260,18.46,6.07,5.64,5.63,7.02,7.15
PM2.5,Val(2023),DJ13,둔산동,8553,17.97,5.23,4.86,4.85,7.19,7.31
PM2.5,Val(2023),DJ12,정림동,8564,16.19,5.04,4.68,4.64,7.31,7.97
PM2.5,Val(2023),DJ02,문평동,8469,19.82,6.25,5.79,5.63,7.38,9.94
PM2.5,Val(2023),DJ04,구성동,8473,19.15,5.5,5.05,5.01,8.18,8.93
