Pollutant,Split,Model,n,R2,RMSE,MAE,Skill_pct
PM10,Train(21-22),Persistence,186064,0.9284,9.62,5.41,
PM10,Train(21-22),RF,186064,0.9929,3.04,1.81,68.4
PM10,Train(21-22),XGB,186064,0.9652,6.7,4.57,30.35
PM10,Val(2023),Persistence,93615,0.9253,8.76,5.41,
PM10,Val(2023),RF,93615,0.9041,9.93,5.47,-13.36
PM10,Val(2023),XGB,93615,0.8785,11.17,5.62,-27.51
PM10,Test(2024),Persistence,93189,0.874,8.01,4.79,
PM10,Test(2024),RF,93189,0.864,8.32,4.67,-3.87
PM10,Test(2024),XGB,93189,0.8567,8.54,4.65,-6.62
PM2.5,Train(21-22),Persistence,185611,0.8585,4.99,3.46,
PM2.5,Train(21-22),RF,185611,0.9844,1.66,1.18,66.73
PM2.5,Train(21-22),XGB,185611,0.9084,4.02,2.94,19.44
PM2.5,Val(2023),Persistence,93800,0.8591,5.62,3.52,
PM2.5,Val(2023),RF,93800,0.8763,5.27,3.36,6.23
PM2.5,Val(2023),XGB,93800,0.8766,5.26,3.29,6.41
PM2.5,Test(2024),Persistence,92249,0.8008,4.95,3.37,
PM2.5,Test(2024),RF,92249,0.829,4.59,3.21,7.27
PM2.5,Test(2024),XGB,92249,0.834,4.52,3.16,8.69
